Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
NS.2150.TSP0022---TSP200X.BS_054_R1	NS.2150.TSP0022---TSP200X.BS_054_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2299223.0	0.0	251.0	48.0	5.391154316276507	251.0	251	pass	pass	pass	pass	warn	fail	pass	pass	fail	fail	fail
NS.2150.TSP0022---TSP200X.BS_054_R2	NS.2150.TSP0022---TSP200X.BS_054_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2299223.0	0.0	251.0	48.0	6.087240749647034	251.0	251	pass	pass	pass	pass	pass	fail	pass	pass	fail	fail	fail
NS.2150.TSP0023---TSP200X.BS_055_R1	NS.2150.TSP0023---TSP200X.BS_055_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2495770.0	0.0	251.0	47.0	5.068749859755444	251.0	251	pass	pass	pass	pass	warn	fail	pass	pass	fail	fail	fail
NS.2150.TSP0023---TSP200X.BS_055_R2	NS.2150.TSP0023---TSP200X.BS_055_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2495770.0	0.0	251.0	47.0	5.80640401880044	251.0	251	pass	pass	pass	pass	pass	fail	pass	pass	fail	fail	fail
NS.2150.TSP0024---TSP200X.BS_056_R1	NS.2150.TSP0024---TSP200X.BS_056_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1936360.0	0.0	251.0	48.0	5.447702661962809	251.0	251	pass	pass	pass	pass	warn	fail	pass	pass	fail	fail	fail
NS.2150.TSP0024---TSP200X.BS_056_R2	NS.2150.TSP0024---TSP200X.BS_056_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1936360.0	0.0	251.0	48.0	6.4842371120902245	251.0	251	pass	pass	pass	pass	pass	fail	pass	pass	fail	fail	fail
NS.2150.TSP0025---TSP200X.BS_058_R1	NS.2150.TSP0025---TSP200X.BS_058_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2797873.0	0.0	251.0	48.0	4.826327249676243	251.0	251	pass	pass	pass	pass	warn	fail	pass	pass	fail	fail	fail
NS.2150.TSP0025---TSP200X.BS_058_R2	NS.2150.TSP0025---TSP200X.BS_058_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2797873.0	0.0	251.0	48.0	5.494705168218151	251.0	251	pass	pass	pass	pass	pass	fail	pass	pass	fail	fail	fail
NS.2150.TSP0026---TSP200X.BS_059_R1	NS.2150.TSP0026---TSP200X.BS_059_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2110106.0	0.0	251.0	47.0	5.623275612572125	251.0	251	pass	pass	pass	pass	pass	fail	pass	pass	fail	fail	fail
NS.2150.TSP0026---TSP200X.BS_059_R2	NS.2150.TSP0026---TSP200X.BS_059_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2110106.0	0.0	251.0	48.0	5.976628511721479	251.0	251	pass	pass	pass	pass	pass	fail	pass	pass	fail	fail	fail
NS.2150.TSP0027---TSP200X.BS_063_R1	NS.2150.TSP0027---TSP200X.BS_063_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1922437.0	0.0	251.0	47.0	5.132755975878533	251.0	251	pass	pass	pass	pass	warn	fail	pass	pass	fail	fail	fail
NS.2150.TSP0027---TSP200X.BS_063_R2	NS.2150.TSP0027---TSP200X.BS_063_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1922437.0	0.0	251.0	47.0	5.801980369565516	251.0	251	pass	pass	pass	pass	warn	fail	pass	pass	fail	fail	fail
NS.2150.TSP0028---TSP200X.BS_066_R1	NS.2150.TSP0028---TSP200X.BS_066_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3509019.0	0.0	251.0	47.0	4.124199742500235	251.0	251	pass	pass	pass	pass	warn	fail	pass	pass	fail	fail	fail
NS.2150.TSP0028---TSP200X.BS_066_R2	NS.2150.TSP0028---TSP200X.BS_066_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3509019.0	0.0	251.0	47.0	7.395430329503711	251.0	251	pass	pass	pass	pass	pass	fail	pass	pass	fail	fail	fail
NS.2150.TSP0029---TSP200X.BS_068_R1	NS.2150.TSP0029---TSP200X.BS_068_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	503509.0	0.0	251.0	47.0	5.8068475439366525	251.0	251	pass	pass	pass	pass	warn	fail	pass	pass	fail	fail	fail
NS.2150.TSP0029---TSP200X.BS_068_R2	NS.2150.TSP0029---TSP200X.BS_068_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	503509.0	0.0	251.0	47.0	6.216572097023092	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
NS.2150.TSP0030---TSP200X.BS_069_R1	NS.2150.TSP0030---TSP200X.BS_069_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2266366.0	0.0	251.0	47.0	5.4828079978961535	251.0	251	pass	pass	pass	pass	pass	fail	pass	pass	fail	fail	fail
NS.2150.TSP0030---TSP200X.BS_069_R2	NS.2150.TSP0030---TSP200X.BS_069_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2266366.0	0.0	251.0	47.0	6.147463276380675	251.0	251	pass	pass	pass	pass	pass	fail	pass	pass	fail	fail	fail
NS.2150.TSP0031---TSP200X.BS_072_R1	NS.2150.TSP0031---TSP200X.BS_072_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3624096.0	0.0	251.0	47.0	4.72122895876692	251.0	251	pass	pass	pass	pass	pass	fail	pass	pass	fail	fail	fail
NS.2150.TSP0031---TSP200X.BS_072_R2	NS.2150.TSP0031---TSP200X.BS_072_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3624096.0	0.0	251.0	47.0	5.852525103901647	251.0	251	pass	pass	pass	pass	pass	fail	pass	pass	fail	fail	fail
NS.2150.TSP0032---TSP200X.BS_073_R1	NS.2150.TSP0032---TSP200X.BS_073_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2533261.0	0.0	251.0	47.0	5.133108375493944	251.0	251	pass	pass	pass	pass	pass	fail	pass	pass	fail	fail	fail
NS.2150.TSP0032---TSP200X.BS_073_R2	NS.2150.TSP0032---TSP200X.BS_073_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2533261.0	0.0	251.0	47.0	5.8548070406939114	251.0	251	pass	pass	pass	pass	pass	fail	pass	pass	fail	fail	fail
NS.2150.TSP0033---TSP200X.BS_074_R1	NS.2150.TSP0033---TSP200X.BS_074_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2396158.0	0.0	251.0	47.0	5.128771177497587	251.0	251	pass	pass	pass	pass	warn	fail	pass	pass	fail	fail	fail
NS.2150.TSP0033---TSP200X.BS_074_R2	NS.2150.TSP0033---TSP200X.BS_074_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2396158.0	0.0	251.0	47.0	6.2200619297175335	251.0	251	pass	pass	pass	pass	pass	fail	pass	pass	fail	fail	fail
NS.2150.TSP0034---TSP200X.BS_078_R1	NS.2150.TSP0034---TSP200X.BS_078_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	384087.0	0.0	251.0	48.0	6.068156433308078	251.0	251	pass	pass	pass	pass	warn	fail	pass	pass	fail	fail	fail
NS.2150.TSP0034---TSP200X.BS_078_R2	NS.2150.TSP0034---TSP200X.BS_078_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	384087.0	0.0	251.0	48.0	6.922129621674255	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
