#Position (bp)	insert size
1.568622598E9	156.8
1.576646243E9	328.02702702702703
1.584669888E9	0.0
1.592693533E9	0.0
1.600717178E9	329.65714285714284
1.608740823E9	125.0
1.616764468E9	326.76876965408803
1.624788113E9	480.35483870967744
1.632811758E9	251.6
1.640835403E9	0.0
1.648859048E9	372.3333333333333
1.656882693E9	264.44827586206895
1.664906338E9	274.50286252058663
1.671900895E9	144.33333333333334
1.6759127175E9	202.46153846153845
1.680953628E9	147.0
1.688977273E9	263.0
1.697000918E9	0.0
1.705024563E9	268.73333333333335
1.713048208E9	132.0
1.721071853E9	208.875
1.729095498E9	0.0
1.737119143E9	345.0
1.745142788E9	183.625
1.753166433E9	208.66666666666666
1.761190078E9	3368403.3333333335
1.769213723E9	922.4739947026246
1.777237368E9	276.3333333333333
1.785261013E9	0.0
1.793284658E9	284.0
1.801308303E9	193.6
1.8070005885E9	177.66666666666666
1.811012411E9	131.5
1.817355593E9	306.6
1.825379238E9	151.0
1.833402883E9	175.0
1.841426528E9	306.3333333333333
1.849450173E9	346.0
1.857473818E9	157.0
1.865497463E9	201.75
1.873521108E9	262.9
1.881544753E9	311.25
1.889568398E9	566.0
1.897592043E9	308.6
1.905615688E9	0.0
1.913639333E9	0.0
1.921662978E9	263.5
1.929686623E9	179.475
1.937710268E9	137.23809523809524
1.942744882E9	223.0
1.9467567045E9	192.42857142857142
1.953757558E9	10874.352090325507
1.961781203E9	311.0
1.969804848E9	187.85714285714286
1.977828493E9	275.0
1.985852138E9	307.0
1.993875783E9	392.14285714285717
2.001899428E9	191.75
2.009923073E9	154.0
2.017946718E9	0.0
2.025970363E9	198.0
2.033994008E9	214.0
2.042017653E9	340.0
2.050041298E9	334.6
2.058064943E9	248.6
2.066088588E9	204.64285714285714
2.0735716965E9	246.66
2.077583519E9	0.0
2.082135878E9	0.0
2.090159523E9	0.0
2.098183168E9	346.5833333333333
2.106206813E9	273.1818181818182
2.114230458E9	0.0
2.122254103E9	0.0
2.130277748E9	381.0
2.138301393E9	282.6666666666667
2.146325038E9	0.0
2.154348683E9	0.0
2.162372328E9	398.0
2.170395973E9	0.0
2.178419618E9	248.03703703703704
2.186443263E9	366.0
2.190931198E9	191.0
2.1949430205E9	0.0
2.202490553E9	0.0
2.210514198E9	232.0
2.218537843E9	153.0
2.226561488E9	638.0
2.234585133E9	191.0
2.242608778E9	128.0
2.250632423E9	167.88636363636363
2.258656068E9	387.0
2.266679713E9	111.0
2.274703358E9	289.0
2.282727003E9	266.35588972431077
2.290750648E9	180.33333333333334
2.2966067495E9	294.4074074074074
2.300618572E9	0.0
2.306797938E9	0.0
2.314821583E9	0.0
2.322845228E9	161.0
2.330868873E9	200.4516129032258
2.338892518E9	324.07197063946256
2.346916163E9	337.0
2.354939808E9	310.04
2.362963453E9	159.6153846153846
2.370987098E9	262.14285714285717
2.379010743E9	238.33333333333334
2.387034388E9	0.0
2.395058033E9	233.0
2.3997560365E9	328.0
2.403767859E9	204.6909090909091
2.411105323E9	280.0
2.419128968E9	168.92592592592592
2.427152613E9	1380.922086800726
2.435176258E9	183.10526315789474
2.443199903E9	0.0
2.451223548E9	232.0
2.459247193E9	2467.5119245471165
2.467270838E9	872.2567043485436
2.475294483E9	211.0
2.483318128E9	208.3
2.4890552565E9	250.78571428571428
2.493067079E9	165.83333333333334
2.499365418E9	310.3030303030303
2.507389063E9	304.25
2.515412708E9	480.0
2.523436353E9	216.6153846153846
2.531459998E9	313.30337078651684
2.539483643E9	255.11904761904762
2.547507288E9	337.0
2.555530933E9	0.0
2.563554578E9	116.33333333333333
2.570802202E9	156.4255319148936
2.5748140245E9	0.0
2.579601868E9	0.0
2.587625513E9	229.07142857142858
2.595649158E9	0.0
2.603672803E9	0.0
2.611696448E9	272.0
2.619720093E9	220.0
2.627743738E9	90.0
2.635767383E9	163.8
2.643791028E9	0.0
2.6511070695E9	221.42105263157896
2.655118892E9	0.0
2.659838318E9	247.86111111111111
2.667861963E9	170.75
2.675885608E9	190.0
2.683909253E9	346.0
2.691932898E9	238.01302077828743
2.699956543E9	225.2
2.707980188E9	358.0
2.7125104575E9	125.0
2.71652228E9	188.33333333333334
2.724027478E9	498.0
2.732051123E9	229.875
2.740074768E9	240.24250440917106
2.748098413E9	164.0
2.756122058E9	175.0
2.764145703E9	225.55555555555554
2.772169348E9	336.5105978025781
2.776827121E9	367.8636363636364
2.7808389435E9	0.0
2.788216638E9	249.0
2.796240283E9	291.0
2.804263928E9	0.0
2.812287573E9	185.66666666666666
2.820241225E9	245.07142857142858
2.8242530475E9	0.0
2.828334863E9	0.0
