Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
NS.2150.TSP0064---TSP200X.BS_114_R1	92.5352515683602	47.0	234.53216407555203	242	27.27272727272727	650042.0
NS.2150.TSP0064---TSP200X.BS_114_R2	92.71343323330949	47.0	235.77626400101573	242	36.36363636363637	645846.0
NS.2150.TSP0065---TSP200X.BS_115_R1	92.94826864365719	48.0	233.52298439638912	242	27.27272727272727	850316.0
NS.2150.TSP0065---TSP200X.BS_115_R2	93.34267156037046	48.0	234.985344893822	242	36.36363636363637	845985.0
NS.2150.TSP0066---TSP200X.BS_116_R1	93.42253268503211	47.0	234.8949608808517	247	27.27272727272727	1438426.0
NS.2150.TSP0066---TSP200X.BS_116_R2	93.23483572295761	47.0	236.0560269923221	247	36.36363636363637	1428258.0
NS.2150.TSP0067---TSP200X.BS_117_R1	92.72470512901141	47.0	235.96490325334796	247	27.27272727272727	524721.0
NS.2150.TSP0067---TSP200X.BS_117_R2	93.05606866597883	47.0	236.98890150130262	247	36.36363636363637	522413.0
NS.2150.TSP0070---TSP200X.BS_120_R1	92.23178406484554	48.0	234.97525795101586	242	27.27272727272727	640044.0
NS.2150.TSP0070---TSP200X.BS_120_R2	92.42750634393143	48.0	236.27024440830564	247	36.36363636363637	636435.0
NS.2150.TSP0071---TSP200X.BS_121_R1	94.0529050395993	48.0	235.05700865543153	242	27.27272727272727	1604195.0
NS.2150.TSP0071---TSP200X.BS_121_R2	94.11245482302797	48.0	236.29932390595033	242	36.36363636363637	1594009.0
NS.2150.TSP0072---TSP200X.BS_122_R1	94.37264900010774	47.0	235.1634533407035	242	27.27272727272727	1707784.0
NS.2150.TSP0072---TSP200X.BS_122_R2	94.33095789641209	47.0	236.15808680070498	247	36.36363636363637	1696530.0
NS.2150.TSP0073---TSP200X.BS_123_R1	95.66928201609008	47.0	234.05874542049892	242	27.27272727272727	3434872.0
NS.2150.TSP0073---TSP200X.BS_123_R2	95.30239333703827	47.0	235.12176474142274	242	36.36363636363637	3409542.0
NS.2150.TSP0074---TSP200X.BS_124_R1	92.14473499937067	47.0	234.324419909483	242	27.27272727272727	564093.0
NS.2150.TSP0074---TSP200X.BS_124_R2	92.55529078196072	47.0	235.70860359830877	242	36.36363636363637	561486.0
NS.2150.TSP0075---TSP200X.BS_125_R1	94.24005426478519	47.0	234.69410544557792	242	27.27272727272727	1424128.0
NS.2150.TSP0075---TSP200X.BS_125_R2	93.84612227510554	47.0	235.65066297568453	242	36.36363636363637	1413174.0
NS.2150.TSP0078---TSP200X.BS_128_R1	95.70712131785763	48.0	234.73363739462926	242	27.27272727272727	3991739.0
NS.2150.TSP0078---TSP200X.BS_128_R2	95.67052966390695	48.0	235.787012594268	242	36.36363636363637	3968075.0
NS.2150.TSP0079---TSP200X.BS_129_R1	87.11231302290206	50.0	234.82486830614948	242	27.27272727272727	35499.0
NS.2150.TSP0079---TSP200X.BS_129_R2	87.016629366271	50.0	235.84580299725204	242	36.36363636363637	35299.0
NS.2150.TSP0080---TSP200X.BS_130_R1	91.88093025390378	47.0	238.737250312647	247	36.36363636363637	174318.0
NS.2150.TSP0080---TSP200X.BS_130_R2	91.28760098633111	47.0	237.46242066906512	247	36.36363636363637	173167.0
NS.2150.TSP0081---TSP200X.BS_131_R1	95.16908621190115	47.0	234.0360738714983	242	27.27272727272727	3064240.0
NS.2150.TSP0081---TSP200X.BS_131_R2	95.38081680015807	48.0	235.58882277245849	242	36.36363636363637	3047822.0
NS.2150.TSP0082---TSP200X.BS_132_R1	93.8530180904295	47.0	233.94997679262798	242	27.27272727272727	1413344.0
NS.2150.TSP0082---TSP200X.BS_132_R2	94.4298351656166	47.0	235.67307254703965	242	36.36363636363637	1406260.0
NS.2150.TSP0083---TSP200X.BS_133_R1	94.11506413197928	47.0	234.23569333109697	242	27.27272727272727	1263956.0
NS.2150.TSP0083---TSP200X.BS_133_R2	94.16913333710066	47.0	235.58694525782442	242	36.36363636363637	1256417.0
NS.2150.TSP0086---TSP200X.BS_136_R1	92.22406736903238	49.0	237.56093975444423	247	36.36363636363637	220398.0
NS.2150.TSP0086---TSP200X.BS_136_R2	92.83660309431039	49.0	237.47874313578052	247	36.36363636363637	219435.0
NS.2150.TSP0087---TSP200X.BS_137_R1	96.46837668340484	48.0	234.35457122709735	242	27.27272727272727	6901987.0
NS.2150.TSP0087---TSP200X.BS_137_R2	96.38841329250032	48.0	235.6281891856937	242	36.36363636363637	6866016.0
NS.2150.TSP0088---TSP200X.BS_138_R1	95.22591299953092	47.0	234.55453513247033	242	27.27272727272727	2689734.0
NS.2150.TSP0088---TSP200X.BS_138_R2	95.16015499932584	47.0	235.8357080757703	242	36.36363636363637	2673132.0
NS.2150.TSP0089---TSP200X.BS_139_R1	95.1067458899758	48.0	235.09751344458797	242	27.27272727272727	2992654.0
NS.2150.TSP0089---TSP200X.BS_139_R2	95.1598964410649	48.0	236.2472976900706	242	36.36363636363637	2976065.0
NS.2150.TSP0090---TSP200X.BS_140_R1	93.44208451027463	47.0	234.36711172162848	242	27.27272727272727	1202623.0
NS.2150.TSP0090---TSP200X.BS_140_R2	93.98767808624336	47.0	235.90492625901084	242	36.36363636363637	1196892.0
NS.2150.TSP0091---TSP200X.BS_141_R1	95.05061057620712	48.0	234.5115793374032	242	27.27272727272727	2768984.0
NS.2150.TSP0091---TSP200X.BS_141_R2	95.2493564544043	48.0	235.74903193014939	242	36.36363636363637	2754450.0
NS.2150.TSP0094---TSP200X.BS_144_R1	94.3483789241085	47.0	233.94251526306766	242	27.27272727272727	1679872.0
NS.2150.TSP0094---TSP200X.BS_144_R2	94.63575140355718	47.0	235.43285098804083	242	36.36363636363637	1670933.0
NS.2150.TSP0095---TSP200X.BS_145_R1	94.59946489149424	47.0	234.18619877489965	242	27.27272727272727	2026936.0
NS.2150.TSP0095---TSP200X.BS_145_R2	95.05091713305383	47.0	235.6993680534589	242	36.36363636363637	2017101.0
NS.2150.TSP0096---TSP200X.BS_146_R1	93.79855353357252	47.0	234.19699754832348	242	27.27272727272727	1320321.0
NS.2150.TSP0096---TSP200X.BS_146_R2	94.38590722040293	47.0	235.70758182651363	242	36.36363636363637	1313694.0
NS.2150.TSP0097---TSP200X.BS_147_R1	92.78056406597557	48.0	234.6135654929282	242	27.27272727272727	953080.0
NS.2150.TSP0097---TSP200X.BS_147_R2	92.90987024778555	48.0	235.7164655454555	242	36.36363636363637	947190.0
