#Coverage	Number of genomic locations
867.0	2.0
868.0	3.0
869.0	9.0
870.0	50.0
871.0	12.0
872.0	30.0
873.0	47.0
874.0	37.0
875.0	22.0
876.0	63.0
877.0	74.0
878.0	80.0
879.0	156.0
880.0	127.0
881.0	140.0
882.0	160.0
883.0	70.0
884.0	40.0
885.0	17.0
886.0	97.0
887.0	35.0
888.0	34.0
889.0	114.0
890.0	68.0
891.0	29.0
892.0	66.0
893.0	21.0
894.0	14.0
895.0	12.0
896.0	78.0
897.0	11.0
898.0	4.0
899.0	15.0
900.0	27.0
901.0	52.0
902.0	4.0
903.0	3.0
904.0	10.0
905.0	17.0
906.0	4.0
907.0	11.0
908.0	25.0
909.0	60.0
910.0	67.0
911.0	174.0
912.0	41.0
913.0	37.0
914.0	3.0
915.0	3.0
916.0	36.0
917.0	20.0
918.0	59.0
919.0	38.0
920.0	24.0
921.0	14.0
922.0	92.0
923.0	19.0
924.0	8.0
925.0	11.0
926.0	12.0
927.0	5.0
928.0	7.0
929.0	8.0
930.0	21.0
931.0	32.0
932.0	5.0
933.0	16.0
934.0	8.0
935.0	24.0
936.0	16.0
937.0	57.0
938.0	31.0
939.0	80.0
940.0	80.0
941.0	107.0
942.0	31.0
943.0	6.0
944.0	7.0
945.0	60.0
946.0	46.0
947.0	45.0
948.0	141.0
949.0	83.0
950.0	58.0
951.0	45.0
952.0	48.0
953.0	60.0
954.0	4.0
955.0	11.0
956.0	11.0
957.0	16.0
958.0	64.0
959.0	43.0
960.0	65.0
961.0	6.0
962.0	23.0
963.0	2.0
964.0	4.0
965.0	4.0
966.0	4.0
967.0	3.0
968.0	6.0
969.0	6.0
970.0	18.0
971.0	13.0
972.0	38.0
973.0	50.0
974.0	42.0
975.0	34.0
976.0	28.0
977.0	42.0
978.0	94.0
979.0	20.0
980.0	18.0
981.0	21.0
982.0	37.0
983.0	107.0
984.0	106.0
985.0	66.0
986.0	14.0
987.0	86.0
988.0	39.0
989.0	67.0
990.0	18.0
991.0	63.0
992.0	70.0
993.0	14.0
994.0	10.0
995.0	19.0
996.0	71.0
997.0	84.0
998.0	114.0
999.0	56.0
1000.0	80.0
1001.0	65.0
1002.0	60.0
1003.0	39.0
1004.0	22.0
1005.0	62.0
1006.0	57.0
1007.0	105.0
1008.0	70.0
1009.0	90.0
1010.0	112.0
1011.0	64.0
1012.0	62.0
1013.0	67.0
1014.0	136.0
1015.0	24.0
1016.0	18.0
1017.0	38.0
1018.0	76.0
1019.0	66.0
1020.0	56.0
1021.0	39.0
1022.0	86.0
1023.0	113.0
1024.0	53.0
1025.0	71.0
1026.0	64.0
1027.0	49.0
1028.0	48.0
1029.0	24.0
1030.0	56.0
1031.0	44.0
1032.0	58.0
1033.0	93.0
1034.0	124.0
1035.0	92.0
1036.0	28.0
1037.0	3.0
1038.0	3.0
1039.0	9.0
1040.0	13.0
1041.0	11.0
1042.0	10.0
1043.0	80.0
1044.0	38.0
1045.0	47.0
1046.0	173.0
1047.0	39.0
1048.0	110.0
1049.0	32.0
1050.0	9.0
1051.0	30.0
1052.0	32.0
1053.0	57.0
1054.0	51.0
1055.0	89.0
1056.0	77.0
1057.0	83.0
1058.0	80.0
1059.0	82.0
1060.0	63.0
1061.0	44.0
1062.0	14.0
1063.0	179.0
1064.0	97.0
1065.0	3.0
1066.0	6.0
1067.0	9.0
1068.0	8.0
1069.0	12.0
1070.0	3.0
1071.0	2.0
1072.0	4.0
1073.0	18.0
1074.0	39.0
1075.0	41.0
1076.0	26.0
1077.0	44.0
1078.0	16.0
1079.0	16.0
1080.0	51.0
1081.0	10.0
1082.0	32.0
1083.0	1.0
1084.0	13.0
1085.0	11.0
1086.0	15.0
1087.0	7.0
1088.0	15.0
1089.0	4.0
1090.0	24.0
1092.0	2.0
1093.0	1.0
1094.0	1.0
1095.0	1.0
1096.0	8.0
1097.0	14.0
1098.0	6.0
1099.0	54.0
1100.0	40.0
1101.0	2.0
1102.0	3.0
1103.0	18.0
1104.0	50.0
1105.0	54.0
1106.0	23.0
1107.0	87.0
1108.0	14.0
1109.0	12.0
1110.0	25.0
1111.0	7.0
1112.0	14.0
1113.0	88.0
1114.0	30.0
1115.0	12.0
1116.0	48.0
1117.0	34.0
1118.0	21.0
1119.0	13.0
1120.0	33.0
1121.0	35.0
1122.0	46.0
1123.0	55.0
1124.0	77.0
1125.0	88.0
1126.0	124.0
