#Coverage	Number of genomic locations
1182.0	2.0
1183.0	2.0
1184.0	3.0
1185.0	14.0
1186.0	10.0
1187.0	22.0
1188.0	58.0
1189.0	34.0
1190.0	134.0
1191.0	34.0
1192.0	63.0
1193.0	11.0
1194.0	8.0
1195.0	4.0
1196.0	7.0
1197.0	9.0
1198.0	5.0
1199.0	73.0
1200.0	3.0
1201.0	25.0
1202.0	2.0
1203.0	2.0
1204.0	54.0
1205.0	6.0
1206.0	30.0
1207.0	10.0
1208.0	5.0
1209.0	7.0
1210.0	101.0
1211.0	19.0
1212.0	10.0
1213.0	2.0
1214.0	45.0
1215.0	32.0
1216.0	88.0
1217.0	94.0
1218.0	52.0
1219.0	16.0
1220.0	18.0
1221.0	13.0
1222.0	40.0
1223.0	45.0
1224.0	13.0
1225.0	44.0
1226.0	44.0
1227.0	45.0
1228.0	22.0
1229.0	5.0
1230.0	38.0
1232.0	2.0
1233.0	2.0
1234.0	1.0
1235.0	10.0
1236.0	6.0
1237.0	5.0
1238.0	10.0
1239.0	18.0
1240.0	8.0
1241.0	4.0
1242.0	17.0
1243.0	24.0
1244.0	97.0
1245.0	13.0
1246.0	46.0
1247.0	30.0
1248.0	8.0
1249.0	34.0
1250.0	86.0
1251.0	33.0
1252.0	24.0
1253.0	52.0
1254.0	37.0
1255.0	19.0
1256.0	13.0
1257.0	11.0
1258.0	13.0
1259.0	32.0
1260.0	79.0
1261.0	69.0
1262.0	33.0
1263.0	47.0
1264.0	127.0
1265.0	48.0
1266.0	17.0
1267.0	16.0
1268.0	41.0
1269.0	67.0
1270.0	86.0
1271.0	71.0
1272.0	25.0
1273.0	54.0
1274.0	29.0
1275.0	45.0
1276.0	75.0
1277.0	80.0
1278.0	70.0
1279.0	16.0
1280.0	3.0
1281.0	24.0
1282.0	51.0
1283.0	60.0
1284.0	51.0
1285.0	12.0
1286.0	14.0
1287.0	8.0
1288.0	19.0
1289.0	33.0
1290.0	34.0
1291.0	58.0
1292.0	120.0
1293.0	23.0
1294.0	35.0
1295.0	3.0
1296.0	2.0
1297.0	9.0
1298.0	12.0
1299.0	4.0
1300.0	10.0
1301.0	7.0
1302.0	33.0
1303.0	21.0
1304.0	111.0
1305.0	65.0
1306.0	1.0
1307.0	5.0
1308.0	21.0
1309.0	2.0
1313.0	3.0
1314.0	1.0
1315.0	2.0
1316.0	5.0
1317.0	1.0
1318.0	5.0
1319.0	6.0
1320.0	5.0
1321.0	7.0
1322.0	18.0
1323.0	8.0
1324.0	9.0
1325.0	52.0
1326.0	36.0
1327.0	10.0
1328.0	29.0
1329.0	32.0
1330.0	1.0
1331.0	4.0
1332.0	3.0
1333.0	7.0
1334.0	27.0
1335.0	7.0
1336.0	1.0
1337.0	1.0
1338.0	9.0
1339.0	7.0
1340.0	23.0
1341.0	14.0
1342.0	36.0
1343.0	22.0
1344.0	21.0
1345.0	38.0
1346.0	24.0
1347.0	20.0
1348.0	29.0
1349.0	23.0
1350.0	95.0
1351.0	54.0
1352.0	10.0
1353.0	9.0
1354.0	8.0
1355.0	3.0
1356.0	8.0
1357.0	4.0
1358.0	17.0
1359.0	55.0
1360.0	10.0
1361.0	6.0
1362.0	10.0
1363.0	14.0
1364.0	10.0
1365.0	14.0
1366.0	9.0
1367.0	23.0
1368.0	51.0
1369.0	24.0
1370.0	29.0
1371.0	25.0
1372.0	15.0
1373.0	74.0
1374.0	97.0
1375.0	58.0
1376.0	25.0
1377.0	46.0
1378.0	32.0
1379.0	58.0
1380.0	91.0
1381.0	98.0
1382.0	35.0
1383.0	18.0
1384.0	8.0
1387.0	15.0
1388.0	27.0
1389.0	39.0
1390.0	15.0
1391.0	37.0
1392.0	18.0
1393.0	11.0
1394.0	7.0
1395.0	9.0
1396.0	5.0
1397.0	14.0
1398.0	11.0
1399.0	7.0
1400.0	3.0
1401.0	5.0
1402.0	4.0
1403.0	3.0
1404.0	38.0
1405.0	17.0
1406.0	37.0
1407.0	73.0
1408.0	67.0
1409.0	117.0
1410.0	38.0
1411.0	3.0
1412.0	1.0
1413.0	10.0
1414.0	13.0
1415.0	15.0
1416.0	15.0
1417.0	56.0
